RCN;Code;Title;ShortTitle;Language
839;FP7-EURATOM;Multiannual Framework Programme 2007 to 2011 of the European Atomic Energy Community (Euratom) for nuclear research and training activities;Euratom Framework Programme;en
839;FP7-EURATOM;Mehrjähriges Rahmenprogramm der Europäischen Atomgemeinschaft (Euratom) für Forschungs- und Ausbildungsmaßnahmen im Nuklearbereich von 2007 bis 2011;Euratom-Rahmenprogramm;de
839;FP7-EURATOM;Programa Marco Plurianual de la Comunidad Europea de la Energía Atómica (Euratom) de Acciones de Investigación y Formación en Materia Nuclear (2007 a 2011);Programa Marco Euratom;es
839;FP7-EURATOM;Programme-cadre pluriannuel de la Communauté européenne de l'énergie atomique (Euratom) pour des activités de recherche et de formation en matière nucléaire (2007-2011);Programme-cadre Euratom;fr
839;FP7-EURATOM;Programma quadro pluriennale della Comunità europea dell'energia atomica (Euratom) per le attività di ricerca e formazione nel settore nucleare (2007-2011);Programma quadro dell'Euratom;it
845;FP7-IDEAS-ERC;"Specific programme: ""Ideas"" implementing the Seventh Framework Programme of the European Community for research, technological development and demonstration activities (2007 to 2013)";"Specific programme: ""Ideas""";en
845;FP7-IDEAS-ERC;"Spezifisches Programm ""Ideen"" zur Durchführung des Siebten Rahmenprogramms der Europäischen Gemeinschaft für Forschung, technologische Entwicklung und Demonstration (2007-2013)";"Spezifisches Programm ""Ideen""";de
845;FP7-IDEAS-ERC;"Programa específico: ""Ideas"" por el que se ejecuta el séptimo programa marco de la Comunidad Europea de acciones de investigación, desarrollo tecnológico y demostración (2007-2013)";"Programa específico: ""Ideas""";es
845;FP7-IDEAS-ERC;"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)";"Programme spécifique ""Idées""";fr
845;FP7-IDEAS-ERC;"Programma specifico ""Idee"" che attua il settimo programma quadro della Comunità europea per le attività di ricerca, sviluppo tecnologico e dimostrazione (2007-2013)";"Programma specifico ""Idee""";it
845;FP7-IDEAS-ERC;"Program szczegółowego ""Pomysły"", wdrażającego siódmy program ramowy Wspólnoty Europejskiej w zakresie badań, rozwoju technologicznego i demonstracji (2007–2013)";"Program szczegółowego ""Pomysły""";pl
846;FP7-COOPERATION;"Specific Programme ""Cooperation"" implementing the Seventh Framework Programmeof the European Community for research, technological development and demonstration activities (2007 to 2013)";"Specific Programme ""Cooperation""";en
846;FP7-COOPERATION;Spezifisches Programm „Zusammenarbeit“ zur Durchführung des Siebten Rahmen-programms der Europäischen Gemeinschaft für Forschung, technologische Entwicklung und Demonstration (2007-2013);Spezifisches Programm „Zusammenarbeit“;de
846;FP7-COOPERATION;"Programa específico ""Cooperación"" por el que se ejecuta el séptimo programa marco de la Comunidad Europea de acciones de investigación, desarrollo tecnológico y demostración (2007-2013)";"Programa Específico ""Cooperación""";es
846;FP7-COOPERATION;"Programme spécifique ""Coopération"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)";"Programme spécifique ""Coopération""";fr
846;FP7-COOPERATION;"Programma specifico ""Cooperazione"" che attua il settimo programma quadro della Comunità europea per le attività di ricerca, sviluppo tecnologico e dimostrazione (2007-2013)";"Programma specifico ""Cooperazione""";it
846;FP7-COOPERATION;"""Program szczegółowego „Współpraca”, wdrażającego siódmy program ramowy Wspólnoty Europejskiej w dziedzinie badań, rozwoju technologicznego i demonstracji (2007–2013)""";Program szczegółowego „Współpraca”;pl
847;FP7-CAPACITIES;"Specific Programme ""Capacities"" implementing the Seventh Framework Programme of the European Community for research, technological development and demonstration activities (2007 to 2013)";"Specific Programme ""Capacities""";en
847;FP7-CAPACITIES;"Spezifisches Programm ""Kapazitäten"" zur Durchführung des Siebten Rahmenprogramms der Europäischen Gemeinschaft für Forschung, technologische Entwicklung und Demonstration (2007-2013)";"Spezifisches Programm ""Kapazitäten""";de
847;FP7-CAPACITIES;"Programa específico ""Capacidades"" por el que se ejecuta el séptimo programa marco de la Comunidad Europea de acciones de investigación, desarrollo tecnológico y demostración (2007-2013)";"Programa específico ""Capacidades""";es
847;FP7-CAPACITIES;"Programme spécifique ""Capacités"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)";"Programme spécifique ""Capacités""";fr
